# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19921bc60
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a81532fe6e6e0,memcpyDtoH,3.968,45,,,,,,,,,,,0,0,4,0
123a81532fe780a0,_Z12jacobikernelPfS_S_iifff,25.664,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe7f400,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe81c40,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532fe8b800,_Z12jacobikernelPfS_S_iifff,25.696,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fe92bc0,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fe95340,memcpyDtoH,3.968,47,,,,,,,,,,,0,0,4,0
123a81532fe9ec00,_Z12jacobikernelPfS_S_iifff,25.728,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fea5fc0,_Z15reductionkernelPfi,4.064,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fea8740,memcpyDtoH,4.064,46,,,,,,,,,,,0,0,4,0
123a81532feb22c0,_Z12jacobikernelPfS_S_iifff,25.696,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532feb9640,_Z15reductionkernelPfi,4.128,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532febbe00,memcpyDtoH,3.936,47,,,,,,,,,,,0,0,4,0
123a81532fec5660,_Z12jacobikernelPfS_S_iifff,25.92,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532feccac0,_Z15reductionkernelPfi,4.16,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
